student_id,date_registered,first_date_watched,first_date_purchased,days_diff_reg_watch,days_diff_watch_purch
255203,2021-12-01,2021-12-01,2021-12-01,0,0
255204,2021-12-01,2021-12-01,2021-12-01,0,0
255206,2021-12-01,2021-12-01,2021-12-02,0,1
255207,2021-12-01,2021-12-01,2021-12-01,0,0
255218,2021-12-01,2021-12-01,2021-12-01,0,0
255241,2021-12-01,2022-01-26,2022-03-21,56,54
255243,2021-12-01,2021-12-01,2021-12-01,0,0
255262,2021-12-01,2021-12-24,2021-12-24,23,0
255268,2021-12-01,2021-12-01,2021-12-28,0,27
255269,2021-12-01,2021-12-01,2021-12-01,0,0
255271,2021-12-01,2021-12-01,2021-12-01,0,0
255272,2021-12-01,2021-12-01,2021-12-01,0,0
255279,2021-12-01,2021-12-01,2021-12-01,0,0
255280,2021-12-01,2021-12-04,2021-12-04,3,0
255306,2021-12-01,2021-12-01,2021-12-02,0,1
255312,2021-12-01,2021-12-01,2021-12-01,0,0
255315,2021-12-01,2021-12-01,2021-12-01,0,0
255318,2021-12-01,2021-12-01,2021-12-01,0,0
255332,2021-12-01,2021-12-01,2021-12-01,0,0
255335,2021-12-01,2021-12-01,2021-12-01,0,0
255338,2021-12-01,2021-12-01,2021-12-01,0,0
255344,2021-12-01,2021-12-01,2021-12-01,0,0
255346,2021-12-01,2021-12-01,2021-12-01,0,0
255348,2021-12-01,2021-12-01,2021-12-01,0,0
255349,2021-12-01,2021-12-01,2021-12-01,0,0
255367,2021-12-02,2021-12-02,2021-12-06,0,4
255372,2021-12-02,2021-12-02,2021-12-02,0,0
255378,2021-12-02,2021-12-02,2021-12-02,0,0
255391,2021-12-02,2021-12-02,2021-12-02,0,0
255396,2021-12-02,2021-12-02,2021-12-06,0,4
255397,2021-12-02,2021-12-02,2021-12-02,0,0
255406,2021-12-02,2021-12-02,2021-12-02,0,0
255449,2021-12-02,2021-12-02,2021-12-05,0,3
255488,2021-12-02,2021-12-04,2021-12-04,2,0
255529,2021-12-03,2021-12-03,2021-12-07,0,4
255534,2021-12-03,2021-12-03,2021-12-06,0,3
255563,2021-12-03,2021-12-03,2021-12-03,0,0
255589,2021-12-03,2021-12-10,2021-12-10,7,0
255595,2021-12-03,2021-12-05,2021-12-09,2,4
255641,2021-12-03,2021-12-03,2021-12-03,0,0
255668,2021-12-04,2021-12-04,2022-01-25,0,52
255744,2021-12-04,2021-12-04,2021-12-06,0,2
255765,2021-12-04,2021-12-06,2021-12-10,2,4
255772,2021-12-04,2021-12-04,2021-12-04,0,0
255827,2021-12-05,2021-12-05,2022-02-25,0,82
255859,2021-12-05,2021-12-05,2021-12-08,0,3
255892,2021-12-05,2021-12-07,2023-01-19,2,408
255912,2021-12-06,2021-12-06,2022-02-18,0,74
255993,2021-12-06,2021-12-06,2021-12-16,0,10
256018,2021-12-06,2021-12-28,2021-12-29,22,1
256055,2021-12-07,2021-12-07,2021-12-07,0,0
256127,2021-12-07,2021-12-17,2021-12-17,10,0
256193,2021-12-08,2021-12-08,2021-12-08,0,0
256270,2021-12-08,2021-12-09,2021-12-09,1,0
256301,2021-12-08,2021-12-08,2023-01-23,0,411
256312,2021-12-09,2021-12-09,2023-01-18,0,405
256329,2021-12-09,2021-12-09,2021-12-16,0,7
256386,2021-12-09,2021-12-10,2021-12-27,1,17
256422,2021-12-09,2021-12-09,2021-12-12,0,3
256448,2021-12-10,2021-12-10,2022-01-20,0,41
256484,2021-12-10,2021-12-10,2021-12-22,0,12
256516,2021-12-10,2021-12-11,2021-12-13,1,2
256527,2021-12-10,2021-12-10,2021-12-10,0,0
256539,2021-12-10,2021-12-11,2021-12-14,1,3
256564,2021-12-11,2021-12-11,2022-01-16,0,36
256570,2021-12-11,2021-12-21,2021-12-21,10,0
256626,2021-12-11,2021-12-11,2021-12-12,0,1
256670,2021-12-12,2021-12-12,2021-12-12,0,0
256678,2021-12-12,2021-12-12,2021-12-12,0,0
256679,2021-12-12,2021-12-19,2021-12-19,7,0
256703,2021-12-12,2021-12-12,2022-03-30,0,108
256727,2021-12-12,2021-12-12,2021-12-12,0,0
256779,2021-12-13,2021-12-13,2022-11-22,0,344
256826,2021-12-13,2021-12-19,2021-12-20,6,1
256834,2021-12-13,2021-12-29,2022-03-30,16,91
256838,2021-12-13,2021-12-13,2022-01-21,0,39
256868,2021-12-13,2021-12-13,2021-12-17,0,4
256904,2021-12-14,2021-12-14,2021-12-14,0,0
256921,2021-12-14,2021-12-14,2021-12-14,0,0
256970,2021-12-14,2021-12-14,2021-12-17,0,3
256990,2021-12-14,2021-12-16,2021-12-16,2,0
257003,2021-12-14,2021-12-28,2021-12-30,14,2
257053,2021-12-15,2021-12-15,2021-12-15,0,0
257095,2021-12-15,2022-05-21,2022-05-27,157,6
257151,2021-12-16,2021-12-16,2022-03-25,0,99
257155,2021-12-16,2021-12-16,2021-12-19,0,3
257240,2021-12-17,2021-12-17,2021-12-17,0,0
257244,2021-12-17,2021-12-17,2021-12-17,0,0
257254,2021-12-17,2021-12-17,2021-12-17,0,0
257318,2021-12-17,2021-12-17,2022-11-28,0,346
257330,2021-12-17,2021-12-17,2021-12-20,0,3
257405,2021-12-18,2021-12-18,2021-12-18,0,0
257415,2021-12-18,2021-12-20,2021-12-27,2,7
257423,2021-12-18,2021-12-18,2021-12-18,0,0
257486,2021-12-19,2021-12-19,2022-02-01,0,44
257502,2021-12-19,2021-12-19,2021-12-21,0,2
257503,2021-12-19,2021-12-19,2021-12-20,0,1
257509,2021-12-19,2021-12-20,2022-01-20,1,31
257521,2021-12-19,2021-12-19,2021-12-19,0,0
257532,2021-12-20,2021-12-20,2021-12-21,0,1
257567,2021-12-20,2021-12-22,2021-12-22,2,0
257594,2021-12-20,2021-12-26,2021-12-26,6,0
257605,2021-12-20,2021-12-20,2021-12-22,0,2
257609,2021-12-20,2021-12-20,2021-12-20,0,0
257610,2021-12-20,2021-12-21,2021-12-26,1,5
257630,2021-12-21,2022-01-10,2022-01-11,20,1
257648,2021-12-21,2022-03-27,2022-12-02,96,250
257682,2021-12-21,2021-12-21,2021-12-21,0,0
257691,2021-12-21,2021-12-21,2023-05-19,0,514
257693,2021-12-21,2021-12-22,2021-12-22,1,0
257694,2021-12-21,2021-12-21,2021-12-21,0,0
257695,2021-12-21,2021-12-21,2021-12-21,0,0
257720,2021-12-21,2021-12-21,2021-12-28,0,7
257729,2021-12-22,2022-01-23,2022-01-23,32,0
257738,2021-12-22,2021-12-23,2022-01-03,1,11
257796,2021-12-22,2021-12-22,2021-12-29,0,7
257801,2021-12-22,2021-12-22,2021-12-26,0,4
257807,2021-12-22,2021-12-22,2022-01-18,0,27
257809,2021-12-22,2021-12-22,2021-12-22,0,0
257821,2021-12-22,2021-12-22,2021-12-25,0,3
257827,2021-12-23,2021-12-23,2021-12-24,0,1
257828,2021-12-23,2021-12-23,2021-12-28,0,5
257898,2021-12-23,2021-12-23,2021-12-26,0,3
257938,2021-12-23,2021-12-23,2021-12-23,0,0
258020,2021-12-24,2021-12-25,2021-12-25,1,0
258044,2021-12-24,2021-12-24,2022-01-17,0,24
258046,2021-12-24,2021-12-24,2022-12-02,0,343
258051,2021-12-25,2021-12-25,2021-12-25,0,0
258119,2021-12-25,2021-12-25,2021-12-25,0,0
258121,2021-12-25,2021-12-25,2021-12-26,0,1
258137,2021-12-26,2021-12-26,2022-01-01,0,6
258141,2021-12-26,2021-12-26,2021-12-26,0,0
258154,2021-12-26,2021-12-26,2022-03-21,0,85
258158,2021-12-26,2021-12-26,2021-12-27,0,1
258161,2021-12-26,2021-12-26,2022-10-24,0,302
258163,2021-12-26,2021-12-26,2021-12-26,0,0
258201,2021-12-26,2022-01-21,2022-11-26,26,309
258209,2021-12-26,2021-12-26,2021-12-30,0,4
